fecha,indicador,valor,fuente
2022-05-06,TC_oficial_venta,122.0,argentinadatos.com
2022-05-07,TC_oficial_venta,122.0,argentinadatos.com
2022-05-08,TC_oficial_venta,122.0,argentinadatos.com
2022-05-09,TC_oficial_venta,122.0,argentinadatos.com
2022-05-10,TC_oficial_venta,122.0,argentinadatos.com
2022-05-11,TC_oficial_venta,122.0,argentinadatos.com
2022-05-12,TC_oficial_venta,123.0,argentinadatos.com
2022-05-13,TC_oficial_venta,123.0,argentinadatos.com
2022-05-14,TC_oficial_venta,123.0,argentinadatos.com
2022-05-15,TC_oficial_venta,123.0,argentinadatos.com
2022-05-16,TC_oficial_venta,123.0,argentinadatos.com
2022-05-17,TC_oficial_venta,124.0,argentinadatos.com
2022-05-18,TC_oficial_venta,124.0,argentinadatos.com
2022-05-19,TC_oficial_venta,124.0,argentinadatos.com
2022-05-20,TC_oficial_venta,124.0,argentinadatos.com
2022-05-21,TC_oficial_venta,124.0,argentinadatos.com
2022-05-22,TC_oficial_venta,124.0,argentinadatos.com
2022-05-23,TC_oficial_venta,124.0,argentinadatos.com
2022-05-24,TC_oficial_venta,124.0,argentinadatos.com
2022-05-25,TC_oficial_venta,124.0,argentinadatos.com
2022-05-26,TC_oficial_venta,125.0,argentinadatos.com
2022-05-27,TC_oficial_venta,125.0,argentinadatos.com
2022-05-28,TC_oficial_venta,125.0,argentinadatos.com
2022-05-29,TC_oficial_venta,125.0,argentinadatos.com
2022-05-30,TC_oficial_venta,125.0,argentinadatos.com
2022-05-31,TC_oficial_venta,125.0,argentinadatos.com
2022-06-01,TC_oficial_venta,126.0,argentinadatos.com
2022-06-02,TC_oficial_venta,126.0,argentinadatos.com
2022-06-03,TC_oficial_venta,126.0,argentinadatos.com
2022-06-04,TC_oficial_venta,126.0,argentinadatos.com
2022-06-05,TC_oficial_venta,126.0,argentinadatos.com
2022-06-06,TC_oficial_venta,127.0,argentinadatos.com
2022-06-07,TC_oficial_venta,127.0,argentinadatos.com
2022-06-08,TC_oficial_venta,127.0,argentinadatos.com
2022-06-09,TC_oficial_venta,127.0,argentinadatos.com
2022-06-10,TC_oficial_venta,127.0,argentinadatos.com
2022-06-11,TC_oficial_venta,127.0,argentinadatos.com
2022-06-12,TC_oficial_venta,127.0,argentinadatos.com
2022-06-13,TC_oficial_venta,128.0,argentinadatos.com
2022-06-14,TC_oficial_venta,128.0,argentinadatos.com
2022-06-15,TC_oficial_venta,128.0,argentinadatos.com
2022-06-16,TC_oficial_venta,128.0,argentinadatos.com
2022-06-17,TC_oficial_venta,128.0,argentinadatos.com
2022-06-18,TC_oficial_venta,128.0,argentinadatos.com
2022-06-19,TC_oficial_venta,128.0,argentinadatos.com
2022-06-20,TC_oficial_venta,128.0,argentinadatos.com
2022-06-21,TC_oficial_venta,129.0,argentinadatos.com
2022-06-22,TC_oficial_venta,129.0,argentinadatos.com
2022-06-23,TC_oficial_venta,129.0,argentinadatos.com
2022-06-24,TC_oficial_venta,129.0,argentinadatos.com
2022-06-25,TC_oficial_venta,129.0,argentinadatos.com
2022-06-26,TC_oficial_venta,129.0,argentinadatos.com
2022-06-27,TC_oficial_venta,130.0,argentinadatos.com
2022-06-28,TC_oficial_venta,130.0,argentinadatos.com
2022-06-29,TC_oficial_venta,130.0,argentinadatos.com
2022-06-30,TC_oficial_venta,130.0,argentinadatos.com
2022-07-01,TC_oficial_venta,131.0,argentinadatos.com
2022-07-02,TC_oficial_venta,131.0,argentinadatos.com
2022-07-03,TC_oficial_venta,131.0,argentinadatos.com
2022-07-04,TC_oficial_venta,132.0,argentinadatos.com
2022-07-05,TC_oficial_venta,133.0,argentinadatos.com
2022-07-06,TC_oficial_venta,133.0,argentinadatos.com
2022-07-07,TC_oficial_venta,133.0,argentinadatos.com
2022-07-08,TC_oficial_venta,134.0,argentinadatos.com
2022-07-09,TC_oficial_venta,134.0,argentinadatos.com
2022-07-10,TC_oficial_venta,134.0,argentinadatos.com
2022-07-11,TC_oficial_venta,135.0,argentinadatos.com
2022-07-12,TC_oficial_venta,135.0,argentinadatos.com
2022-07-13,TC_oficial_venta,135.0,argentinadatos.com
2022-07-14,TC_oficial_venta,135.0,argentinadatos.com
2022-07-15,TC_oficial_venta,135.0,argentinadatos.com
2022-07-16,TC_oficial_venta,135.0,argentinadatos.com
2022-07-17,TC_oficial_venta,135.0,argentinadatos.com
2022-07-18,TC_oficial_venta,136.0,argentinadatos.com
2022-07-19,TC_oficial_venta,136.0,argentinadatos.com
2022-07-20,TC_oficial_venta,136.0,argentinadatos.com
2022-07-21,TC_oficial_venta,136.0,argentinadatos.com
