ejercicio,jur_id,jur_desc,prg_id,prg_desc,monto_original,monto_vigente,monto_normalizado
2024,1,Poder Legislativo Nacional,48,Administracion del Edificio del Molino,770.0,1185.0,1185000000.0
2025,1,Poder Legislativo Nacional,48,Administracion del Edificio del Molino,1185.0,1185.0,1185000000.0
2026,1,Poder Legislativo Nacional,48,Administracion del Edificio del Molino,1253.0,1253.0,1253000000.0
2023,1,Poder Legislativo Nacional,49,Control Parlamentario sobre Organos y Actividades de Seguridad Interior,30506607.51,30506607.51,30506608.0
2024,1,Poder Legislativo Nacional,49,Control Parlamentario sobre Organos y Actividades de Seguridad Interior,30.51,30.51,30506577.0
2025,1,Poder Legislativo Nacional,49,Control Parlamentario sobre Organos y Actividades de Seguridad Interior,30.51,15.25,15253289.0
2026,1,Poder Legislativo Nacional,49,Control Parlamentario sobre Organos y Actividades de Seguridad Interior,35.0,35.0,35000000.0
2023,10,Ministerio Público,16,Ejercicio de la Accion Publica y Defensa de la Legalidad,76247870947.79,134403691848.56,76247870948.0
2024,10,Ministerio Público,16,Ejercicio de la Accion Publica y Defensa de la Legalidad,134421.81,372913.49,372913487397.0
2025,10,Ministerio Público,16,Ejercicio de la Accion Publica y Defensa de la Legalidad,372913.49,515913.76,515913755933.0
2026,10,Ministerio Público,16,Ejercicio de la Accion Publica y Defensa de la Legalidad,539546.3,539546.3,539546299994.0
2023,10,Ministerio Público,17,"Representacion, Defensa y Curatela Publica Oficial",45039186198.14,77217499495.42,45039186198.0
2024,10,Ministerio Público,17,"Representacion, Defensa y Curatela Publica Oficial",77257.07,203529.42,203529418772.0
2025,10,Ministerio Público,17,"Representacion, Defensa y Curatela Publica Oficial",203529.42,287907.09,287907092389.0
2026,10,Ministerio Público,17,"Representacion, Defensa y Curatela Publica Oficial",295846.0,295846.0,295846000000.0
2023,20,Presidencia de la Nación,1,Actividades Centrales,1733184968.18,2994439489.44,1733184968.0
2025,20,Presidencia de la Nación,1,Actividades Centrales,29374.38,33588.73,33588725136.0
2026,20,Presidencia de la Nación,1,Actividades Centrales,19934.49,22080.71,22080713408.0
2023,20,Presidencia de la Nación,16,Acciones de Comunicacion y Prensa Institucional,2037828334.83,7005610898.6,2037828335.0
2023,20,Presidencia de la Nación,16,Acciones de Integracion de Personas con Discapacidad,2329214260.21,3248702721.7,2329214260.0
2023,20,Presidencia de la Nación,16,Conduccion del Poder Ejecutivo Nacional,9809296322.29,20997735853.71,9809296322.0
2023,20,Presidencia de la Nación,16,Control Interno del Poder Ejecutivo Nacional,4208687608.68,7182506885.5,4208687609.0
2023,20,Presidencia de la Nación,16,Informacion e Inteligencia,9258622842.61,15557797141.78,9258622843.0
2023,20,Presidencia de la Nación,16,Regulacion y Fiscalizacion de las Actividades Nucleares,3383324047.32,6140710902.7,3383324047.0
2024,20,Presidencia de la Nación,16,Acciones de Comunicacion y Prensa Institucional,50562.4,2166.96,2166964004.0
2024,20,Presidencia de la Nación,16,Conduccion del Poder Ejecutivo Nacional,21059.48,68154.66,68154664300.0
2024,20,Presidencia de la Nación,16,Control Interno del Poder Ejecutivo Nacional,7194.46,18837.46,18837460006.0
2024,20,Presidencia de la Nación,16,Informacion e Inteligencia,15557.78,48256.27,48256273634.0
2024,20,Presidencia de la Nación,16,Regulacion y Fiscalizacion de las Actividades Nucleares,6247.95,15301.71,15301712592.0
2025,20,Presidencia de la Nación,16,Acciones Artisticas del Teatro Nacional Cervantes,8940.29,12492.9,12492896857.0
2025,20,Presidencia de la Nación,16,Acciones de Comunicacion y Difusion de Actos de Gobierno,25412.86,16161.63,16161631925.0
2025,20,Presidencia de la Nación,16,Conduccion del Poder Ejecutivo Nacional,45076.28,62664.07,62664071790.0
2025,20,Presidencia de la Nación,16,Control Interno del Poder Ejecutivo Nacional,18837.46,24104.36,24104360006.0
2025,20,Presidencia de la Nación,16,Financiamiento para el Fomento de las Artes,3147.3,4267.12,4267123908.0
2025,20,Presidencia de la Nación,16,"Fomento, Produccion y Difusion del Teatro",6425.75,5932.35,5932345302.0
2025,20,Presidencia de la Nación,16,Informacion e Inteligencia,48256.27,106990.46,106990460225.0
2025,20,Presidencia de la Nación,16,Regulacion y Fiscalizacion de las Actividades Nucleares,15286.46,23500.02,23500023816.0
2026,20,Presidencia de la Nación,16,Acciones Artisticas del Teatro Nacional Cervantes,12395.0,12071.68,12071680000.0
