jur_id,jur_desc,prg_id,año,desc,monto_normalizado
50,Ministerio de Economía,53,2024,Coordinacion de Financiamientos Transversales y Federales y de la Asistencia a la Produccion,47429503607.0
50,Ministerio de Economía,53,2025,"Ejecucion de Infraestructura Vial para el Desarrollo Economico, Social y Productivo",9324487581.0
50,Ministerio de Economía,62,2023,Fortalecimiento del Desarrollo Regional de Alimentos y Bioeconomia,1419466604.0
50,Ministerio de Economía,62,2024,Fortalecimiento del Desarrollo Regional de Alimentos y Bioeconomia,21031943452.0
50,Ministerio de Economía,62,2025,Fortalecimiento del Desarrollo Regional de Alimentos y Bioeconomia,0.0
50,Ministerio de Economía,62,2026,Construcciones Viales,218798873168.0
50,Ministerio de Economía,63,2023,Coordinacion de Relaciones Financieras Internacionales,1496496759.0
50,Ministerio de Economía,63,2024,Coordinacion de Relaciones Financieras Internacionales,3319762869.0
50,Ministerio de Economía,63,2025,Coordinacion de Relaciones Financieras Internacionales,2190645016.0
50,Ministerio de Economía,63,2026,Rehabilitacion y Repavimentacion Viales,53048111942.0
50,Ministerio de Economía,66,2023,Fomento al Desarrollo Tecnologico,11682127933.0
50,Ministerio de Economía,66,2024,Fomento al Desarrollo Tecnologico,16562000847.0
50,Ministerio de Economía,66,2025,Fomento al Desarrollo Tecnologico,24031020636.0
50,Ministerio de Economía,66,2026,"Promocion de la Competitividad Pyme, el Desarrollo de los Emprendedores y la Economia del Conocimiento",9155159859.0
80,Ministerio de Salud,10,2024,Actividad Comun a los Programas 51 y 52,7391219032.0
80,Ministerio de Salud,10,2025,Actividades Comunes  a los Programas 51 y 52,9274133795.0
80,Ministerio de Salud,10,2026,Actividades Comunes  a los Programas 51 y 52,6600005159.0
80,Ministerio de Salud,16,2023,Apoyo al Desarrollo de la Atencion Medica,2647612072.0
80,Ministerio de Salud,16,2024,Apoyo al Desarrollo de la Atencion Medica,6102325164.0
80,Ministerio de Salud,16,2025,Apoyo al Desarrollo de la Atencion Medica,5304959248.0
80,Ministerio de Salud,16,2026,Asistencia para la Salud Mental y Consumos Problematicos,19271253200.0
80,Ministerio de Salud,17,2023,Abordaje de Curso de Vida (NNA),8128557328.0
80,Ministerio de Salud,17,2024,Abordaje de Curso de Vida,7079827505.0
80,Ministerio de Salud,17,2025,Abordaje de Curso de Vida,24222320566.0
80,Ministerio de Salud,17,2026,Atencion Especializada en Rehabilitacion y Cuidados Paliativos,46763139167.0
80,Ministerio de Salud,18,2023,Formacion de Recursos Humanos Sanitarios y Asistenciales,1741372679.0
80,Ministerio de Salud,18,2024,Formacion de Recursos Humanos Sanitarios y Asistenciales,9031443005.0
80,Ministerio de Salud,18,2025,Promocion del Modelo Social de la Discapacidad en Municipios,292813000.0
80,Ministerio de Salud,18,2026,Formacion de Recursos Humanos Sanitarios y Asistenciales,25830248886.0
