jur_id,jur_desc,prg_id,en_2023,en_2024,en_2025,en_2026,monto_2023,monto_2024,monto_2025,monto_2026,nombre_estable,nombres_distintos,alerta,desc_2023,desc_2026
25,Jefatura de Gabinete de Ministros,83,✗,✗,✗,✓,0,0,0,11077761924.0,SI,,NUEVO_POST2023,,Evaluacion y Control Ambiental
25,Jefatura de Gabinete de Ministros,9,✓,✓,✓,✗,5178100178.0,5797518071.0,1117294268.0,0,NO,"Actividades Comunes a los Programas 24, 25 y 26 | Actividades Comunes a los Programas 24 y 25 | Actividades Comunes a los Programas 24, 25, 26 y 58",NOMBRE_CAMBIA,"Actividades Comunes a los Programas 24, 25, 26 y 58",
25,Jefatura de Gabinete de Ministros,94,✓,✓,✓,✓,5000005000.0,29313219984.0,24020648577.0,12552000000.0,SI,,,Asistencia Financiera a Empresas Publicas,Asistencia Financiera a Empresas Publicas
30,Ministerio del Interior,1,✓,✓,✗,✓,4459391031.0,34599495619.0,0,22745152128.0,SI,,,Actividades Centrales,Actividades Centrales
30,Ministerio del Interior,11,✗,✓,✗,✓,0,1489548823.0,0,408696357.0,NO,Actividades Comunes a los Programas de Deporte | Actividad Comun a Programas 54 y 55 Deportes,NOMBRE_CAMBIA | NUEVO_POST2023,,Actividades Comunes a los Programas de Deporte
30,Ministerio del Interior,12,✗,✓,✗,✗,0,12199352226.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,16,✓,✓,✗,✓,56361336715.0,12143423207.0,0,3680214457.0,NO,Promocion del Turismo Receptivo Internacional | Impulso al Desarrollo del Sistema Democratico y Relaciones con la Comunidad,NOMBRE_CAMBIA,Impulso al Desarrollo del Sistema Democratico y Relaciones con la Comunidad,Impulso al Desarrollo del Sistema Democratico y Relaciones con la Comunidad
30,Ministerio del Interior,17,✓,✓,✗,✓,6003997230.0,17898401388.0,0,1415500351.0,SI,,,"Cooperacion, Asistencia Tecnica y Capacitacion a Municipios","Cooperacion, Asistencia Tecnica y Capacitacion a Municipios"
30,Ministerio del Interior,18,✗,✓,✗,✗,0,3006521574.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,19,✓,✓,✗,✓,71814830865.0,323395412990.0,0,257578413991.0,SI,,,Relaciones con las Provincias y Desarrollo Regional,Relaciones con las Provincias y Desarrollo Regional
30,Ministerio del Interior,23,✗,✓,✗,✗,0,40000.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,24,✗,✓,✗,✗,0,3282196278.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,25,✗,✓,✗,✗,0,578180938.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,26,✗,✓,✗,✗,0,1419855429.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,27,✗,✓,✗,✗,0,7219090760.0,0,0,SI,,NUEVO_POST2023,,
30,Ministerio del Interior,3,✓,✓,✗,✗,19541653.0,19541633.0,0,0,SI,,,Actividad Comun a Programas con Financiamiento Externo,
